iteration,time_fs,laser_z_um,spot_size_um,peak_a0,peak_field_TVm,transverse_centroid_um,edge_fluence_fraction
0,0.0,14.981226533166462,5.0519566643859015,3.9876941177602694,16.004117357814415,5.764275281675136e-16,1.5044797959728702e-10
50,8.339102379953802,17.48122653316643,5.053593022967692,3.9864459539737918,15.99910800676324,-2.2276982749737566e-16,1.5255548105655042e-10
100,16.678204759907604,19.981289111389234,5.0585044556402075,3.982600940129961,15.983676519045812,1.7731959963925678e-13,1.5904840984834756e-10
150,25.017307139861405,22.481289111389234,5.066680394584502,3.9761816049489003,15.957913310895195,-2.3726756955977516e-11,1.7039741954559455e-10
200,33.35640951981521,24.98128911138924,5.078105098833595,3.9672257973689877,15.92197028434645,-4.657896325455886e-09,1.8766732837518353e-10
250,41.695511899769016,27.481289111389238,5.092756868032369,3.955786831870721,15.876061410475987,-3.0838632907698703e-09,2.1198462290934973e-10
300,50.03461427972281,29.98122653316647,5.110601738288655,3.9419273587565313,15.820438128527384,4.0820587436773346e-11,2.4544111558023834e-10
350,58.373716659676624,32.481289111389266,5.131575670885402,3.925728552185175,15.75542622095155,-2.7761502238336626e-08,2.9119019699848867e-10
400,66.71281903963042,34.981289111389245,5.155597132700567,3.9072778326623934,15.681376539140809,8.276176437310827e-08,3.535567566847261e-10
450,75.05192141958422,37.431226533166445,5.182579879801989,3.8867500941457234,15.598990998372242,4.315954110979862e-07,4.386143184377177e-10
500,83.39102379953803,39.93122653316642,5.212427875626981,3.8642287962072275,15.508604553320525,2.564124667506013e-07,5.550050033665161e-10
550,91.73012617949182,42.43122653316647,5.245043497946975,3.8392625153056024,15.408405471410456,-1.0385112027718944e-08,7.150845591277365e-10
600,100.06922855944562,44.93122653316654,5.280321846717676,3.812252055701463,15.300002330992067,-4.5372768313137416e-07,9.365260198889156e-10
650,108.40833093939943,47.48128911138937,5.3181141794536515,3.785529062784358,15.192752902583651,-9.868810920235478e-07,1.2444998374719072e-09
700,116.74743331935325,49.93122653316666,5.358356776390074,3.7593809205550097,15.087810566343888,-3.392411523883122e-06,1.6773639582948056e-09
750,125.08653569930703,52.431226533166715,5.400897598220411,3.73172923865611,14.97683395951741,-9.400496328400122e-06,2.289955103869207e-09
800,133.42563807926084,54.881163954944,5.445597606862667,3.7013347027528183,14.85484924723316,-1.1431358020182876e-05,3.124115912013426e-09
850,141.76474045921464,57.331101376721264,5.492315678359256,3.66729807944908,14.718247467424957,-2.1838167749582827e-05,4.331073668026326e-09
900,150.10384283916844,59.78103879849855,5.540912791810575,3.628107247623241,14.560959908908966,-3.108727285489846e-05,6.172780332902402e-09
950,158.44294521912224,62.281038798498614,5.591233226677611,3.584519788629068,14.386027030791556,-4.191884548630886e-05,8.900541489164896e-09
1000,166.78204759907607,64.78103879849867,5.643154935825,3.538247313406992,14.200318171982046,-5.161909849089734e-05,1.265756402369734e-08
1050,175.12114997902987,67.3311013767215,5.696511322898535,3.490976668188066,14.010603281290226,-6.424679035273753e-05,1.7567165969339645e-08
1100,183.46025235898364,69.88116395494436,5.751207834143386,3.4452482009547714,13.82707773129,-8.131054965134529e-05,2.395294666222964e-08
1150,191.79935473893744,72.48128911138997,5.807094482676617,3.4017104075714952,13.652344179961949,-9.26291323302247e-05,3.248037946177e-08
1200,200.13845711889124,75.08141426783558,5.864079668627258,3.3615290764642642,13.491081375031838,-0.00011172667467856416,4.494251897254039e-08
1250,208.47755949884504,77.68153942428121,5.922078508422192,3.3272954799175944,13.3536890674642,-0.0001225843016180262,6.312320362235636e-08
1300,216.81666187879887,80.23160200250403,5.981074472747352,3.2960125416306703,13.228138862043131,-0.00012885610555969223,9.102007155620114e-08
1350,225.15576425875267,82.78166458072688,6.040954170732563,3.268855105185149,13.119145848242054,-0.0001319854351944961,1.3301299505645184e-07
1400,233.4948666387065,85.33172715894972,6.101671996832085,3.244357421817769,13.020827424604708,-0.000127959573520585,1.972190073357225e-07
1450,241.8339690186603,87.83172715894978,6.163120808166426,3.2226940591946716,12.933884196877983,-0.00012489823665730036,2.9172091038432366e-07
1500,250.17307139861407,90.33172715894983,6.2252681218893064,3.2027658486735096,12.853904787601968,-0.0001106243815606281,4.3193356529011995e-07
1550,258.5121737785679,92.83172715894989,6.287936951667702,3.1839915427516003,12.77855643178211,-9.36852201484344e-05,6.332924055388425e-07
1600,266.85127615852167,95.33172715894996,6.35110100091228,3.1664540479836956,12.708171864626483,-7.18733508166291e-05,9.091730054245678e-07
1650,275.1903785384755,97.83172715895002,6.414586827110946,3.1497879834171334,12.641284674852262,-4.7109191295412554e-05,1.2917092521797278e-06
1700,283.5294809184293,100.33172715895007,6.478198489374296,3.1335393343241877,12.576072730477877,-2.177520674097823e-05,1.798867527500374e-06
1750,291.86858329838304,102.83172715895014,6.541779470016909,3.1180256098024266,12.513810315013945,-6.97335425703636e-06,2.461725158334302e-06
